P00027739T0000|5 28|gamma glutamyltransferase
P09731513A1090|73 81|NF-kappaB
P09731513A1090|120 123|IL-8
P09733794A1323|27 31|Bcl-2
P09733794A1323|34 46|Bcl-2-related
P09733815T0000|57 70|tyrosine kinase
P09735286A0599|68 70|Mu B
P09736697A1107|7 10|ERKs
P09736697A1107|20 23|IL-6
P09736697A1107|169 172|Jak1
P09738693T0000|9 15|rhG-CSF
P09747873T0000|31 35|GRB10
P09748286A0000|62 91|inhibitory factor receptor (LIFR)
P09751114A0967|18 21|MyoD
P09753775A0734|88 95|H1 kinase
P09754571A0169|91 94|RAG1
P09754571A1257|3 7|hBRAG
P09757012A0942|34 36|KS5
P09759865A0673|13 20|IL-1beta
P09759865A0673|24 32|TNF-alpha
P09759865A0673|63 65|Rel
P09759865A0673|178 192|NF-kappaB-alpha
P09763470A0000|8 23|beta-hydroxylase
P09763522A2545|31 37|N-SMase
P09765388T0000|14 16|p53
P09765388T0000|23 25|p73
P09765394A1590|19 34|helicase-primase
P09767593A0130|63 85|tyrosine-phosphorylated
P09771967A1052|12 14|LB1
P09774444A0351|110 120|beta-globin
P09778197A0415|212 222|A) reductase
P09780228A0613|30 33|FkbB
P09780336A0771|10 13|Msy2
P09781761A0384|0 0|1
P09784245T0000|61 84|kinase A and protein kinase C
P09786932A1042|183 186|IFNA
P09788739A1096|7 33|CD44-associated serine kinase
P09790986A0689|41 64|glutathione S-transferase
P09792702A0754|104 108|HSP70
P09794414T0000|16 22|kinase C
P09794795A0183|240 244|STAT3
P09795213A0129|0 4|RBP56
P09797456A0000|14 18|c-myc
P09797456A0883|48 52|c-myc
P09797456A0883|97 101|c-myc
P09799793T0000|102 106|CUTL1
P09808155A0813|13 23|DNA:protein
P09811730A1396|98 100|KCS
P09815578A1245|37 41|CDKN2
P09819411A0897|2 7|DNase I
P09820611T0000|64 77|erythropoietin
P09822602A0237|201 212|CREB-binding
P09822647A0000|6 14|aldolase C
P09822825A0141|50 53|BAP3
P09823775A1122|61 67|HLA-DRA
P09829843A0819|122 127|GM-CSF
P09832511A0269|24 26|Vnd
P09834070A0793|35 38|ERK2
P09834070A0793|125 131|kinase C
P09837907A0857|13 24|TNF receptors
P09837907A0857|108 116|caspase-3
P09837907A0857|128 136|NF-kappaB
P09837907A0857|140 143|AP-1
P09837978T0093|36 58|kinase/stress-activated
P09844106A0835|0 3|Pyk2
P09844106A0835|57 67|fibronectin
P09846482A0441|63 75|p21-activated
P09849961A0387|69 76|3-kinase
P09852005A1287|92 112|opaque-phase-specific
P09852068A0150b|41 46|DNase I
P09852136A0174|133 143|(HA)-tagged
P09858531A1017|12 16|RING1
P09864141A0528|12 16|Stat3
P09864335A1226|39 42|FCR1
P09867253A0229|4 8|c-Jun
P09869297A1807|56 60|Hoxb1
P09872832A1262|161 186|interferon gamma (IFN-gamma)
P09880327A0322|32 47|Golgi-associated
P09881692A0094|101 107|Ckappa1
P09882303A1984|38 42|TRAF2
P09882321A0948|80 85|EBNA-3
P09882321A0948|117 122|EBNA-3
P09884275T0000|0 15|Interferon-alpha
P09889202T0000|108 113|(alpha
P09889306A0321|26 31|Glvr-1
P09891065A1493|75 83|PKC-alpha
P09914500A0000|13 18|kappa B
P09914500A0000|174 183|(TNF)alpha
P09915860A0000|19 28|pgp2/mdr1b
P09917389A1239|12 16|RNase
P09918715A1158|13 16|MotA
P09920903A1045|26 30|c-met
P09920903A1045|50 52|p53
P09925777A1195|55 65|beta-globin
P09927449A0421|96 99|CLN2
P09933428A0351|0 8|IFN-gamma
P09949160A0600|47 49|PKC
P09950213A1660|99 106|TGF-beta
P09952378A0529|92 104|IgG antibodies
P09988767A1496|61 64|3Ost
P09990060A0937|27 30|CREB
P09990315A0205|37 50|protein kinase C
P09990315A0205|190 192|PKC
P09990507A0000|55 63|ubiquitin
P10022880A0000|12 28|GTPase-activating
P10022905A0446|132 136|mog-1
P10022921A0608|17 20|SIN3
P10022925A0870|3 6|Nmd3
P10025506A0079|29 35|plastin
P10026211A0136|40 50|CRE-binding
P10029337A0406|101 119|serum creatine kinase
P10036181A0603|50 54|GPR34
P10036191A0000|168 182|tissue-specific
P10037681A0494|29 37|PKC-alpha
P10037681A0494|90 93|PLD1
P10049912T0000|16 20|RNase
P10050883A0967|12 39|phosphatidylinositol-3 kinase
P10051488A1610|27 32|TIMP-1
P10053852T0000|6 7|g2
P10066798A0391|0 24|Cyclin D1-associated kinase
P10066815T0000|90 97|3-kinase
P10072774A0537|109 120|beta integrin
P10074282A0236|98 104|cGMPase
P10074903A0915|61 64|p202
P10074903A0915|153 155|p21
P10076007A0656|3 22|MSY2 associated kinase
P10077188A1172|16 28|helicase-like
P10080875A0772|125 133|NF-kappaB
P10080875A0772|175 183|NF-kappaB
P10080875A0772|209 212|AP-1
P10082137A0262|20 28|IFN-gamma
P10082137A0262|61 70|interferon
P10082554T0000|19 23|c-myc
P10082573A1015|186 191|DNase I
P10084294A0219|92 99|ferritin
P10085140A1004|48 55|TGF-beta
P10094396A0000|41 59|kinase casein kinase 2
P10096573A0207|135 148|MGSA/GRO-alpha
P10098601A1320|43 47|JEG-3
P10101159A0742|20 23|SOC1
P10191090A0000|29 32|PAX3
P10194451A0000|77 90|tyrosine kinase
P10194451A0000|208 211|p210
P10195425T0000|40 44|MTF-1
P10197985A0145|7 11|RNase
P10198061A0339|26 37|beta-catenin
P10207049A0693|3 6|GAC1
P10207049A1001|28 42|Glc7 phosphatase
P10207092A0924|62 74|DNA-activated
P10207092A0924|82 87|kinase
P10209031A0832|74 82|Fyn kinase
P10209119A0076|66 80|F-box/WD-repeat
P10209119A0076|108 116|ubiquitin
P10209119A0594|73 76|pop2
P10212278A0387|49 53|c-jun
P10212278A0387|106 115|N-terminal
P10212278A0387|123 128|kinase
P10212278A0387|157 173|mitogen-activated
P10215594A1728|49 52|CRE1
P10215608A0161|65 69|GSTA3
P10219091A0246|32 35|CTL1
P10224257A0079|13 17|her-1
P10224293A0000|15 34|tyrosine phosphatases
P10225279A0450|46 49|UL55
P10228155A1293|72 83|beta-catenin
P10228157T0000|52 62|Dbf2p kinase
P10231485A0342|105 108|TtrB
P10233885A0899|113 117|mim-1
P10318806A0000|35 45|(MAP) kinase
P10318806A0000|89 104|stress-activated
P10318806A0476|63 72|MAP kinases
P10318806A0918|100 102|Src
P10318859A0535|14 22|calpeptin
P10319320A1022|65 67|Ras
P10319327A1237|147 150|bHLH
P10320579A1831|13 16|FlgN
P10322629A0198|83 91|Pax-2/5/8
P10323463T0000a|0 15|Interferon-alpha
P10323463T0000b|0 15|Interferon-alpha
P10323863A0852|60 69|telomerase
P10327051A0688|27 57|Stress-Activated-Protein-Kinase
P10329135A1326|84 96|mitochondrial
P10329586A0414|12 22|fibronectin
P10330146A0730|45 54|luciferase
P10330146A0730|109 118|luciferase
P10330168A0135|37 83|cyclin B (Clb)/cyclin-dependent kinase (Cdk/Cdc28p)
P10333526A0459|3 7|hTERT
P10333529A0277|4 10|betaAPP
P10333529A0277|18 22|Abeta
P10341219A0481|71 79|YD-repeat
P10342829A1370|77 80|SF-1
P10344736A0796|0 9|CDK4 kinase
P10344736A0796|67 73|p21Cip1
P10347203A0832|23 27|STAT3
P10347203A0832|48 59|somatostatin
P10348859A0292|49 52|MerR
P10350484A0346|13 18|kinase
P10358075A0984|133 146|PtdIns 3-kinase
P10358080A1114|112 115|HSF1
P10358083A0263|85 95|DNA-protein
P10359014A1077|18 22|Fra-2
P10359673A0000|8 11|LPD1
P10359673A0000|110 113|GCN4
P10362652A0350|43 45|Ras
P10364159A0813|36 44|FRAP/mTOR
P10369418A0644|87 95|NF-kappaB
P10369418A0644|129 137|NF-kappaB
P10375638A0859|32 36|NRF-1
P10390158A1150|37 41|Pit-1
P10393910A0705|29 30|R2
P10395199A0792|135 137|Ras
P10395908A0236|132 140|G-protein
P10400712A0577|194 220|hemagglutinin-neuraminidase
P10400712A0577|228 243|the polymerase (L)
P10403575A1401|15 18|StAR
P10403839A0140|33 37|BMAL1
P10403839A0140|157 161|BMAL1
P10407184A0149|21 27|betaAPP
P10411140A0499|42 46|RNase
P10413676A0595|53 61|FAK kinase
P10419521A0136|114 123|polymerase
P10428759A0743|34 39|kinase
P10428811A0628|59 87|beta-adrenergic receptor kinase
P10428862A0834|96 99|DokR
P10429946A0988|22 53|B-Myb-glutathionine S-transferase
P10438593A0000|42 44|Tat
P10438924A1009|60 97|serine/threonine kinase glycogen synthase
P10438924T0000|35 78|Akt (protein kinase B)/glycogen synthase kinase-3
P10439040A0658|35 39|c-myc
P10440923A0684|111 132|cyclin-dependent kinase
P10440923A0684|168 201|cyclin E- and cyclin A-dependent kinase
P10444813A0448|74 85|somatostatin
P10446910A0147|13 16|E2F1
P10446998A0375|100 103|junB
P10446998A0375|106 110|c-fos
P10446998A0955|103 107|c-fos
P10448095A0865|3 6|STAT
P10454540A0392|63 73|exonuclease
P10454561A0594|132 156|alpha-induced IkappaBalpha
P10454570A0846|48 53|kinase
P10454570A0846|71 86|stress-activated
P10454570A0846|94 119|kinase-Jun N-terminal kinase
P10458907A0543|22 27|Rad30b
P10458914A0674|18 21|STAP
P10464291A0597|41 50|PDGFalphaR
P10464291A0597|54 75|CCAAT/enhancer-binding
P10471746A1102|69 76|Myogenin
P10473623A0081|43 53|factor-beta
P10477583A0000a|59 61|IgG
P10477583A0000b|59 61|IgG
P10477597A0126|0 4|TRAF2
P10477620A0580|44 47|RelA
P10477620A0580|69 99|I kappa B alpha degradation, I kappa B
P10477620A0580|127 144|I kappa B kinase (IKK)
P10478844A1604|30 41|CREB-binding
P10480937A0000|6 22|Drosophila A kinase
P10480937A0000|37 53|Drosophila A kinase
P10486210A0126|44 60|aldehyde reductase
P10487744T0000|33 45|beta2 integrin
P10487753A0788|14 18|XDRP1
P10487921A0132|0 3|ATF1
P10488087A0340|124 140|acetyltransferase
P10488088T0000|33 37|bcl-2
P10488148T0000|0 24|ERK MAP kinase links cytokine
P10490639A0000|62 67|kinase
P10490816A0000|14 16|RET
P10490826T0000|6 19|tyrosine kinase
P10490835T0000|95 108|tyrosine kinase
P10490955T0000|75 91|mitogen-activated
P10490955T0000|99 104|kinase
P10491187T0000|3 20|phosphotransferase
P10493575T0000|52 61|(beta beta)
P10496284A0115|112 114|IgG
P10501965A0879|77 84|s6 kinase
P10501965A0879|118 125|ORF-less
P10501965A0879|162 170|G-protein
P10505694A0739|0 4|IL-12
P10506143A0610|215 218|Rac1
P10512857A0000|15 26|beta-catenin
P10512882A0137|31 40|Src kinases
P10514493A0199|106 110|Ntr-1
P10516878T0000|22 31|D2 receptor
P10517666A1069|37 40|AP-1
P10517675A0809|114 135|cyclin-dependent kinase
P10521443A0486|93 101|NF-kappaB
P10521443A0486|219 227|NF-kappaB
P10521447A0606|96 107|AML/CBFalpha
P10521509A0000|89 93|GGL (G
P10521509A0000|164 166|RGS
P10523634A1404|70 74|Cbf5p
P10523640A0367|11 27|Src tyrosine kinase
P10523640A0367|47 51|Stat3
P10523640A0367|90 103|Stat3-mediated
P10523647A0000|55 58|bZIP
P10524258A0286|32 37|FGFR-1
P10527426A0521|12 15|SBEI
P10531360A0958|101 104|VEGF
P10531446A0203|53 56|ErbB
P10532354A1374|56 66|epsilon-COP
P10532805A1084|41 47|kinase A
P10533066A0758|0 3|TSC1
P10541432A0185|16 19|erbB
P10541432A0185|104 106|Shc
P10541432A0185|161 167|ERK MAPK
P10541432A0185|219 222|MAPK
P10541865A1301|34 39|CDKN2A
P10541865A1301|43 48|CDKN2B
P10542249A0415|122 133|(C/EBP)alpha
P10542269A0000|156 176|beta-amyloid precursor
P10542274A1376|81 90|caveolin-1
P10544088A0308|97 105|NF-kappaB
P10548722A0099|59 66|TcP2beta
P10549354A1782|83 100|Tcf-4/beta-catenin
P10549354A1782|154 165|beta-catenin
P10549354A1782|211 214|GSK3
P10549354A2371|40 42|Tcf
P10551879T0000|26 31|kinase
P10551879T0000|41 48|A-kinase
P10551879T0000|118 140|green fluorescent protein
P10556033A0000|3 5|RFX
P10556595A0391|31 34|recN
P10557308A0000|59 61|RAS
P10559364A0846|114 123|polymerase
P10561095A2141|71 80|calcitonin
P10562495A0188|12 14|SFV
P10563836A1234|98 101|AP-2
P10564474T0000|86 89|OprH
P10564495A0444|19 21|Opa
P10567524T0000|3 12|elm1 kinase
P10567538A1028|14 30|acetyltransferase
P10567581A0119|39 49|homolog-11B
P10568744A0728|52 65|alpha-specific
P10574913A1108|58 79|beta-arrestin-mediated
P10576545A0926|63 65|D1A
P10579722T0000|45 61|myosin phosphatase
P10579722T0000|64 73|Rho-kinase
P10584704A0913|109 119|cytokeratin
P10585453A1029|10 14|Pit-1
P10585453A1029|25 29|hGH-N
P10585453A1029|148 152|Pit-1
P10585491A0945|129 132|AtpC
P10585491A0945|271 274|AtpC
P10586115A0477|82 90|TNF-alpha
P10593939A0747|78 81|SR33
P10593939A0747|115 118|SR45
P10593950A1113|78 91|RNP-associated
P10594239T0000|16 31|homology-related
P10597223A0339|68 70|p21
P10597223A0339|97 99|p21
P10597232A0000|52 54|RET
P10598101A0000|15 18|bZIP
P10598101A0754|3 9|mEmBP-1
P10601344A1653|153 156|RhoA
P10606272A1241|78 80|SF1
P10606515A0389|49 73|beta-retinoic acid receptor
P10606515A0389|92 97|DNase I
P10607566A0880|26 37|beta-catenin
P10607566A0880|166 177|beta-catenin
P10611242A0541|62 65|HIS3
P10611320A0816|105 109|Cak1p
P10613874A0663|143 146|GlnR
P10613874A0663|150 153|GlnA
P10623804A0808|130 141|Fc gamma RIIB1
P10625494A1059|61 64|MDR1
P10625683A0091|27 41|tyrosine kinases
P10628750A0298|41 66|[tumor necrosis factor-alpha
P10628750T0000|62 76|angiotensinogen
P10628750T0000|136 144|NF-kappaB
P10637230A0332|19 23|c-myc
P10648020A0151|114 133|plasminogen activator
P10655230A0685|90 95|kinase
P10657658A0165|144 149|ICAM-1
P10660069A0819|99 101|RRD
P10660304A0522|85 88|CNTF
P10660676A0000|41 65|Growth Factor beta (TGFbeta)
P10663558T0000|100 111|anti-laminin
P10666238A1322|34 38|E2F-1
P10666238A1322|52 57|E4-6/7
P10666238A1322|111 115|E2F-1
P10667597A0668|6 10|HZF16
P10669594A0969|40 43|SefA
P10669596A0430|216 223|nuclease
P10669633A0391|85 89|flt-1
P10669751T0000|8 24|mitogen-activated
P10669751T0000|32 37|kinase
P10669751T0000|84 88|c-jun
P10674395A0262|184 189|kinase
P10675331A0600|11 15|c-Src
P10677214A1045|11 14|MutT
P10679065A0711|34 47|MAPK-activated
P10679065A0711|55 62|kinase-2
P10679065A0711|121 134|MAPK-activated
P10679065A0711|142 149|kinase-2
P10679065A1217|26 29|junB
P10683989A0251|110 112|tau
P10684111A1411|82 90|p42 of MAPK
P10684265T0000|93 112|ubiquitin-homologous
P10688646A0535|85 96|alpha-globin
P10688663A0207|43 49|trypsin
P10688666A1010|22 25|ASK1
P10690702A0065|8 38|Acetylcholine receptor antibodies
P10692433A0000|22 24|E2F
P10698937T0000|19 24|kinase
P10698974A0951|20 24|STAG3
P10698974A0951|66 78|STAG3-related
P10702241A0357|11 12|a1
P10702241A0357|80 81|a3
P10702253A0357|25 48|transcriptase-polymerase
P10702253A0357|72 81|HIF-1alpha
P10702285A0855|55 82|phosphatidylinositol 3-kinase
P10702794A1495|120 123|ERK2
P10704283A0649a|150 153|IL-4
P10704285A0536|70 78|AP-2alpha
P10704285A0536|103 111|AP-2alpha
P10704338A0354|67 73|p24(CA)
P10704410T0000|0 15|Clb/Cdc28 kinases
P10704853T0000|35 47|Nodal-related
P10705380A0629|127 131|BMP-4
P10713083A0560|61 64|TraM
P10714985A1057|0 1|3'
P10715325A0834|3 7|AtERF
P10721704X0000|28 33|Elavl1
P10722661A0406|98 101|CYC2
P10724483A0540|51 55|HEM13
P10727247A0461|97 101|TEF-1
P10727426A1280|3 8|kinase
P10727428A0000|119 128|MAP kinases
P10727433A0560|204 206|ras
P10727515A1202|63 82|delta-opioid receptor
P10728945A0233|21 30|Integrilin
P10729220A0000|16 19|IGF2
P10729220A0000|56 58|H19
P10733591A0146|55 59|actin
P10733591A0533|21 25|Cdc42
P10739671A0136|97 101|c-myb
P10739671A0136|287 296|interferon
P10744974T0000|80 85|kinase
P10748125A0000|57 57|1
P10749145T0000|50 62|diphosphatase
P10749166A0991|24 43|virulence-associated
P10749849A0000|120 141|cyclin-dependent kinase
P10760132A1169|67 69|Ypt
P10760950A1133|30 39|N-utrophin
P10762348A0269|5 24|phosphorylation, STAT
P10763827A1158|64 66|ras
P10764970A1009|21 45|quinupristin/dalfopristin
P10773351A0672|53 61|IFN-gamma
P10773351A0672|96 115|GAS (gamma-interferon
P10773455A1268|110 114|ALAS2
P10773455A1268|273 277|ALAS2
P10773667A0351|18 22|HMG20
P10773951A0000|17 29|anti B antibody
P10777669A0582|3 8|ZNF274
P10779313A1842|55 69|beta-adrenergic
P10779508A0452|2 7|DNase I
P10780883T0000|42 51|interferon
P10786671A0182|23 32|telomerase
P10786671A0182|113 142|telomerase reverse transcriptase
P10788320A1034|108 112|102kD
P10791901A0609|98 101|MRP1
P10799590A0431|65 71|EBNA-3C
P10801860A0000|38 52|(immunoglobulin
P10805286A0233|55 57|PCI
P10805286A0233|143 145|PCI
P10805738A0799|51 59|p38 kinase
P10810083A1283|3 24|serine-threonine kinase
P10810294A0730|31 34|IL-6
P10811804A0000|24 47|(MAP) kinase phosphatase-3
P10825200T0000|18 32|tyrosine kinases
P10828022A0877|0 9|Endostatin
P10836786A0516|136 138|MRP
P10836786A0516|145 149|RNase
P10838139A1447|14 19|Ha-ras
P10848993A0000|35 57|methylmalonyl-CoA mutase
P10855690A0870|38 46|MAP kinase
P10855796A1160|67 71|EphA8
P10858988A0786|6 13|tryptase
P10860827A0399|101 104|CSX1
P10860846A0480|166 168|HGF
P10861080A0433|25 36|IkappaBalpha
P10861080A0433|81 89|TNF-alpha
P10861909A0502|109 113|leu1-
P10865940A0000|142 150|NF-kappaB
P10870043A0621|22 25|GnRH
P10871045A1221|100 108|C/EBPbeta
P10873387A0816|42 48|Cacna1f
P10873387A0816|86 98|synaptophysin
P10885750A0236|51 56|CREB-2
P10890911A0470|17 21|Smad3
P10890911A0470|83 85|Wnt
P10891286A0000|12 23|titin/myosin
P10891286A0000|29 39|chain kinase
P10891286A0000|87 98|actin/myosin
P10891399A1185|152 156|c-fos
P10891489A0152|32 38|HMG-I/Y
P10903877A0879|61 63|PKC
P10903877A0879|136 144|ERK kinase
P10907971T0000|28 43|HMG-CoA reductase
P10915728A0216|106 113|IFN-beta
P10915780A1063|0 4|Wnt-1
P10915780A1063|50 57|cyclin D1
P10915780A1063|89 93|Wnt-1
P10918572A1547|31 39|TGF-alpha
P10918572A1547|146 154|TGF-alpha
P10918596A0000|26 28|p53
P10928337A0590|45 58|erythropoietin
P10931927A0655|145 164|reverse transcriptase
P10931950A0869|0 3|Cdk2
P10933728A1398|95 99|hnRNP
P10933728A1398|107 110|AUF1
P10933732A0000|145 154|interferon
P10938105A0000|38 68|fibroblast growth factor receptor 2
P10938109A1361|18 24|PKCbeta
P10938135A0259|118 131|tyrosine kinase
P10939785A0540|46 48|ACE
P10942587A0981|140 141|E7
P10942599A1298|92 97|Hoxa-1
P10946303A0000|0 8|TNF-alpha
P10955998A1124|25 35|glycosylase
P10965135A0735|177 196|MAP kinase kinase (MKK)
P10965905A1618|194 202|MAP kinase
P10965905A1618|284 287|PI3K
P10965905A1618|311 319|MAP kinase
P10965905T0000|69 85|mitogen-activated
P10965905T0000|93 98|kinase
P10972980A0295|85 93|3-kinase;
P10972990A0196|26 28|p53
P10972990A0526|12 14|p53
P10972990A1518|32 34|p53
P10980416T0000|145 147|BSP
P11000521A0588|274 280|kinase B
P11003653A0198|61 71|beta-globin
P11003653A0198|115 125|beta-globin
P11005808A1082|45 51|ERK MAPK
P11007777A0813|95 110|beta-hydroxylase
P11007949A1607|64 67|PTEN
P11007954A0170|15 28|receptor-bound
P11012680A0676|22 25|FGF1
P11012680A1020|11 18|PLCgamma
P11012680A1020|93 97|FGFR1
P11012680A1020|165 172|PLCgamma
P11014215A1092|145 149|GnRHR
P11014215A1092|213 217|GnRHR
P11016850A0423|94 97|LysR
P11017876A0787|85 92|protease
P11018028A0263|55 60|kinase
P11023832A1038|121 137|mitogen-activated
P11023832A1038|145 150|kinase
P11023832A1038|165 173|NF-kappaB
P11024047A0626|64 73|luciferase
P11027274A1682|31 38|3-kinase
P11027280A0536|41 45|Smad2
P11027280A0536|49 53|Smad4
P11027294A0483|26 49|histone acetyltransferase
P11031252A0646|26 35|PKC epsilon
P11031252A0646|104 106|PKC
P11031252A0646|150 157|PKC delta
P11036939A2149|40 42|Wnt
P11040101A1180|48 51|VEGF
P11040101A1180|199 202|VEGF
P11042204A0186|62 70|p38 kinase
P11046148A0716|78 82|Nedd4
P11053009A0000|62 75|cyclooxygenase
P11054565A0654|85 90|GTPase
P11056019A0926|12 22|glycosylase
P11059786A0682|0 3|VEGF
P11062068T0000|21 37|mitogen-activated
P11062068T0000|45 68|(MAP) kinase phosphatase-1
P11063127A0000|81 91|phosphatase
P11063742A0000|0 8|NF-kappaB
P11069756A2618|250 266|mitogen-activated
P11069756A2618|274 279|kinase
P11070078A1153|42 44|p53
P11071789T0000|30 32|ACE
P11071852A0297|72 95|transcription-polymerase
P11071924A0588|0 0|A
P11073539A0866|29 34|desmin
P11073954A0337|3 6|Psc2
P11078726X0000|36 38|p53
P11078726X0000|84 86|p53
P11090172A0612|33 36|RNA3
P11090272A1240|45 48|ORL1
P11092886A0341|0 26|Nevertheless, protein kinase A
P11094073A0000|73 83|Ros receptor
P11094073A0000|91 104|tyrosine kinase
P11094075A0257|43 50|r-PTPeta
P11094091A0000|35 38|CREB
P11099377T0000|72 96|beta-d-xylosyltransferase
P11103792A0755|16 20|c-Myc
P11105129T0000|75 88|beta-lactamase
P11108151A0560|44 46|PKC
P11108720A1130|80 96|kinase kinase (MEK)
P11111051A0051|34 57|histone acetyltransferase
P11112417A1126|137 141|MLSN1
P11118062A1691|61 65|K-ras
P11121397A0587|33 37|rib-2
P11122381A0908|93 98|GM-CSF
P11127200A1024|92 95|AP-1
P11127200A1024|175 183|collagen I
P11137296A0923|229 233|PFK-C
P11139469A0402|25 28|Ang2
P11139469A0402|109 115|kinase C
P11145571A0788|0 13|IFN-stimulated
P11145590A0217|63 79|thyroglobulin (TG)
P11145955A0189|166 182|mitogen-activated
P11145955A0189|190 195|kinase
P11145955A0189|251 266|alpha (TGF-alpha)
P11152070A0573|3 6|actA
P11152283A0223|27 29|NGF
P11152283A0223|104 116|NGF-regulated
P11152451A1580|44 51|TGF-beta
P11152451A1580|218 225|TGF-beta
P11152521A0181|121 136|primase-helicase
P11157784A0141|11 15|DGCR6
P11158310A0993|44 52|ATF6alpha
P11158324A1073|441 453|cotransporter
P11158337A0000|50 53|GnRH
P11159363A1251|38 40|E2F
P11160280A1275|7 23|IFN-gamma-induced
P11160860A0662|27 33|IkappaB
P11160860A0662|78 86|NF-kappaB
P11160860A0662|181 192|IkappaBalpha
P11160896A0713|48 52|Smad2
P11161455A1286|64 87|endothelial-TACC-related
P11161816A0851|36 45|endophilin
P11162576A0213|103 107|PDE5A
P11168446T0000|9 22|erythropoietin
P11171118A0836|22 25|NF-1
P11171320A0894|17 25|p120(ctn)
P11179689A0000|3 5|Sox
P11181525T0000|73 74|AR
P11181531A0464|86 94|NF-kappa B
P11181564A0733|11 19|both genes
P11191208A0000|236 239|PDR3
P11196191A1789|32 35|IL-6
P11196199T0000|21 25|Rad23
P11207216A0296|51 74|transcription-polymerase
P11207216A0719|15 20|PGHS-2
P11207282A0729|172 174|IgH
P11207308A0999|87 91|STAT1
P11207308A0999|143 158|N-terminal kinase
P11221845A0800|54 64|intron-less
P11222387A1497|65 81|ABL tyrosine kinase
P11223240A0655|10 15|Menin1
P11223255A1034|40 69|serine threonine receptor kinases
P11239529A0981|0 7|IL-1beta
P11241166A0677|0 5|TaqMan
P11241243A0693|120 122|p53
P11241356T0000|82 89|collagen
P11241672T0000|37 51|beta(3) integrin
P11245986T0000|53 61|aldolase B
P11251104A0526|15 27|alpha-amylase
P11254504A0766|194 206|homeobox (Cdx)
P11254504A0766|216 227|Cdx protein-2
P11254713A1029|180 183|IL-2
P11260468A1179|119 130|histone-like
P11263664T0000|40 56|(delta-crystallin
P11264375A0000|34 48|immediate-early
P11274184A1068|75 78|ho-1
P11274357A0724|180 196|diphosphate kinase
P11274357A0724|266 272|GTPases
P11274368A0469|76 82|histone
P11274368A0818|66 68|p21
P11275986A0091|41 43|p53
P11276426A0501|8 12|Mmip1
P11277913T0000|45 49|Hsp70
P11278290A1220|38 45|TGF-beta
P11278290A1220|111 115|Smad2
P11278461A0637|115 124|HIF-1alpha
P11278461A0637|170 179|HIF-1alpha
P11278671T0000|15 19|Bcl-2
P11278819A0565|101 104|IRBP
P11282395A0530|31 36|RAG1/2
P11283168A0738|70 72|Gus
P11287578A1311|81 99|IFN-gamma-inducible
P11289135A0975|70 86|mitogen-activated
P11289135A0975|94 135|kinase kinase/extracellular signal-regulated
P11289135A0975|143 148|kinase
P11289135A0975|210 226|mitogen-activated
P11289135A0975|234 246|kinase kinase 1
P11289149A0658|8 10|EWS
P11289149A0658|101 112|CREB-binding
P11292335A0852|87 97|single-base
P11303027A0954|51 57|GTPases
P11306511A1476|86 89|mdm2
P11310937A0548|106 109|IL-6
P11310937A0548|162 170|TNF-alpha
P11311153T0000|80 106|angiotensin converting enzyme
P11312120A1311|0 8|NF-kappaB
P11313386A0704|0 5|SH2D1A
P11313946T0000|36 38|Ras
P11313946T0000|61 72|Ras-mediated
P11323419T0000|68 95|alpha (1,2)fucosyltransferase
P11327698A0191|120 122|PKC
P11327698A0191|168 170|Sp1
P11327698A0191|231 233|PKC
P11327698A0191|246 248|PKC
P11327698A0191|304 309|IGF-II
P11327698A0191|424 429|IGF-II
P11335116A1099|229 231|ESP
P11352671A0492|141 145|hPIV2
P11353770A0085|65 77|N-glycosylase
P11355576A1125|3 9|cyclins
P11355576A1125|202 204|E2F
P11356853A0429|102 105|ho-1
P11357063A0138|174 186|LHbeta-CGbeta
P11357063A1053|61 71|gpLH/CGbeta
P11367523A2624|8 10|C4B
P11369700A0616|102 106|Elf-1
P11371417A0744|122 132|(TNF)-alpha
P11372882A1143|18 25|beta-HCH
P11373277A0812|156 164|AP-2alpha
P11375392T0000|92 94|Sp3
P11376007A0584|53 58|kinase
P11376007A0584|142 153|phosphatase 1
P11376007A0584|232 242|phosphatase
P11376687A0344|136 139|MTH1
P11384229A1669|87 104|beta-galactosidase
P11384880A0719|41 41|1
P11387208T0000|0 8|SKP1-SnRK
P11387208T0000|16 21|kinase
P11387208T0000|67 69|SCF
P11389085A1032|24 32|NF-kappaB
P11391531A1157|13 21|NF-kappaB
P11408575A0000|87 91|Cdc28
P11408575A0000|97 103|cyclin B
P11408591A0000|89 93|v-src
P11408604A1440|54 62|ERK kinase
P11416012A1982|180 185|kinase
P11416012A2511|277 293|mitogen-activated
P11416012T0000|169 174|kinase
P11416012T0000|209 225|mitogen-activated
P11416012T0000|233 238|kinase
P11416144A1324|106 108|p53
P11423991A1393|22 24|p53
P11429702A0917|107 111|FGFR3
P11431348A0000|87 103|mitogen-activated
P11431348A0000|111 128|kinase (MAPK) kinase
P11432748T0000|19 28|beta2 chain
P11433024A0260|0 9|Telomerase
P11435578A2231|91 98|CREB/ATF
P11439343A0785|36 37|Pc
P11454004T0000|58 90|glycerol-3-phosphate dehydrogenase
P11454703A0000|3 12|telomerase
P11459794A1172|110 116|GnRH-II
P11463359A0167|93 102|luciferase
P11463359A0167|127 132|G6Pase
